description,rationale,use_case,impact_area,transferability_score,actionability_rating,evidence_strength,type_(form),tag_(application),unique?,role,function,company,industry,country,date,source_(interview_#/_name),link,notes
"com/lexOUTLINE:(00:00) - Introduction(00:35) - Sponsors, Comments, and Reflections(08:11) - Misconceptions about China(12:42) - Education in China(21:58) - Economic reforms of Deng Xiaoping(27:17) - Mayor economy and GDP growth race(41:05) - Growing up in China(46:43) - First time in the US(50:57) - China's government vs business sector(54:31) - Communism and capitalism(58:09) - Jack Ma(1:04:22) - China's view on innovation and copying ideas(1:11:00) - DeepSeek moment(1:14:53) - CHIPS Act(1:16:40) - Tariffs and Trade(1:29:05) - Immigration(1:33:52) - Taiwan(1:39:39) - One-child policy(1:47:35) - China's economy collapse predictions(1:52:18) - Advice for visiting ChinaPODCAST LINKS:- Podcast Website: https://lexfridman",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Lex Fridman Podcast,,"Episode: #477 – Keyu Jin: China's Economy, Tariffs, Trade, Trump, Communism & Capitalism, Platform: spotify, Content: com/lexOUTLINE:(00:00) - Introduction(00:35) - Sponsors, Comments, and Reflections(08:11) - Misconceptions about China(12:42) - Education in China(21:58) - Economic reforms of Deng Xiaoping(27:17) - Mayor economy and GDP growth race(41:05) - Growing up in China(46:43) - First time in the US(50:57) - China's government vs business sector(54:31) - Communism and capitalism(58:09) - Jack Ma(1:04:22) - China's view on innovation and copying ideas(1:11:00) - DeepSeek moment(1:14:53) - CHIPS Act(1:16:40) - Tariffs and Trade(1:29:05) - Immigration(1:33:52) - Taiwan(1:39:39) - One-child policy(1:47:35) - China's economy collapse predictions(1:52:18) - Advice for visiting ChinaPODCAST LINKS:- Podcast Website: https://lexfridman"
"com/lexOUTLINE:(00:00) - Introduction(00:44) - Sponsors, Comments, and Reflections(10:29) - Origin story of Genghis Khan(52:15) - Early battles & conquests(1:04:55) - Power(1:07:18) - Secret History(1:20:43) - Mongolian steppe(1:24:00) - Mounted archery and horse-riding(1:32:21) - Genghis Khan's army(1:48:33) - Military tactics and strategy(2:00:57) - Wars of conquest(2:05:21) - Dan Carlin(2:15:22) - Religious freedom(2:31:09) - Trade and the Silk Road(2:39:54) - Weapons innovation(2:41:25) - Kublai Khan and conquering China(3:23:15) - Fall of the Mongol Empire(3:50:11) - Genetic legacy(4:00:05) - Lessons from Genghis Khan(4:10:21) - Human nature(4:13:31) - Visiting Mongolia(4:32:59) - Lex: Dan Carlin(4:35:50) - Lex: GazaPODCAST LINKS:- Podcast Website: https://lexfridman",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Lex Fridman Podcast,,"Episode: #476 – Jack Weatherford: Genghis Khan and the Mongol Empire, Platform: spotify, Content: com/lexOUTLINE:(00:00) - Introduction(00:44) - Sponsors, Comments, and Reflections(10:29) - Origin story of Genghis Khan(52:15) - Early battles & conquests(1:04:55) - Power(1:07:18) - Secret History(1:20:43) - Mongolian steppe(1:24:00) - Mounted archery and horse-riding(1:32:21) - Genghis Khan's army(1:48:33) - Military tactics and strategy(2:00:57) - Wars of conquest(2:05:21) - Dan Carlin(2:15:22) - Religious freedom(2:31:09) - Trade and the Silk Road(2:39:54) - Weapons innovation(2:41:25) - Kublai Khan and conquering China(3:23:15) - Fall of the Mongol Empire(3:50:11) - Genetic legacy(4:00:05) - Lessons from Genghis Khan(4:10:21) - Human nature(4:13:31) - Visiting Mongolia(4:32:59) - Lex: Dan Carlin(4:35:50) - Lex: GazaPODCAST LINKS:- Podcast Website: https://lexfridman"
Want Sam's top 7 books for entrepreneurs (& his reading strategy),,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/My First Million,,"Episode: 3 Wild Stories to Get You Hyped This Week, Platform: spotify, Content: Want Sam's top 7 books for entrepreneurs (& his reading strategy)"
"When her wife complained about the indignities of coloring her hair at home, Amy realized the sector was ripe for a makeover",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/How I Built This with Guy Raz,,"Episode: Madison Reed: Amy Errett, Platform: spotify, Content: When her wife complained about the indignities of coloring her hair at home, Amy realized the sector was ripe for a makeover"
"Madison Reed’s early successes were marred by a management meltdown, when Amy had to break with three of her co-founders—an experience she describes as one of the most difficult of her life",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/How I Built This with Guy Raz,,"Episode: Madison Reed: Amy Errett, Platform: spotify, Content: Madison Reed’s early successes were marred by a management meltdown, when Amy had to break with three of her co-founders—an experience she describes as one of the most difficult of her life"
Daniel shares what he learned from his years of plant-based cooking and how the experiment forever changed his creative vision,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/How I Built This with Guy Raz,,"Episode: Exclusive Update: The Chef Who Shocked the Culinary World and Why He’s Changing Course Again—Daniel Humm of Eleven Madison Park, Platform: spotify, Content: Daniel shares what he learned from his years of plant-based cooking and how the experiment forever changed his creative vision"
Chesapeake Bay Candle and Blueme founder Mei Xu joins Guy on the Advice Line to answer questions from three early-stage founders,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/How I Built This with Guy Raz,,"Episode: Advice Line with Mei Xu of Chesapeake Bay Candle and Blueme, Platform: spotify, Content: Chesapeake Bay Candle and Blueme founder Mei Xu joins Guy on the Advice Line to answer questions from three early-stage founders"
"And finally, Lindsay in Grand Rapids, Michigan needs advice on how to get her online curriculum in front of more school districts",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/How I Built This with Guy Raz,,"Episode: Advice Line with Mei Xu of Chesapeake Bay Candle and Blueme, Platform: spotify, Content: And finally, Lindsay in Grand Rapids, Michigan needs advice on how to get her online curriculum in front of more school districts"
"If you’d like to be featured on a future Advice Line episode, leave us a one-minute message that tells us about your business and a specific question you’d like answered",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/How I Built This with Guy Raz,,"Episode: Advice Line with Mei Xu of Chesapeake Bay Candle and Blueme, Platform: spotify, Content: If you’d like to be featured on a future Advice Line episode, leave us a one-minute message that tells us about your business and a specific question you’d like answered"
"After a failed business left him nearly bankrupt, he found success by zigging where others zagged—initially by selling hit records based on TV shows like Power Rangers and WrestleMania",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/How I Built This with Guy Raz,,"Episode: Simon Cowell: Music Mogul, Platform: spotify, Content: After a failed business left him nearly bankrupt, he found success by zigging where others zagged—initially by selling hit records based on TV shows like Power Rangers and WrestleMania"
[00:24:35] Kevin's improved communication since quitting alcohol,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/The Tim Ferriss Show,,"Episode: #822: The Random Show — Ketones for Cognition, Tim’s Best Lab Results in 10+ Years, How Kevin Hit 100 Days Sober, Home Defense, Vibe Coding Unleashed, and More, Platform: spotify, Content: [00:24:35] Kevin's improved communication since quitting alcohol"
[01:03:27] The time Kevin found a homeless person in his closet,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/The Tim Ferriss Show,,"Episode: #822: The Random Show — Ketones for Cognition, Tim’s Best Lab Results in 10+ Years, How Kevin Hit 100 Days Sober, Home Defense, Vibe Coding Unleashed, and More, Platform: spotify, Content: [01:03:27] The time Kevin found a homeless person in his closet"
[00:15:53] Why I’ve always wanted to make my own game and how development began in earnest,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/The Tim Ferriss Show,,"Episode: #821: My Two-Year Secret Project, COYOTE — The Strategies and Tactics for Building a Bestseller from Nothing with Elan Lee of Exploding Kittens, Platform: spotify, Content: [00:15:53] Why I’ve always wanted to make my own game and how development began in earnest"
[00:53:00] The beginner’s mind approach to writing effective game instructions,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/The Tim Ferriss Show,,"Episode: #821: My Two-Year Secret Project, COYOTE — The Strategies and Tactics for Building a Bestseller from Nothing with Elan Lee of Exploding Kittens, Platform: spotify, Content: [00:53:00] The beginner’s mind approach to writing effective game instructions"
[02:29:49] How we tried to avoid these mistakes when packaging Coyote,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/The Tim Ferriss Show,,"Episode: #821: My Two-Year Secret Project, COYOTE — The Strategies and Tactics for Building a Bestseller from Nothing with Elan Lee of Exploding Kittens, Platform: spotify, Content: [02:29:49] How we tried to avoid these mistakes when packaging Coyote"
"com/tim ($1000 off)Our Place's Titanium Always Pan® Pro using nonstick technology that’s coating-free and made without PFAS, otherwise known as “Forever Chemicals”: https://fromourplace",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/The Tim Ferriss Show,,"Episode: #820: Elizabeth Gilbert — How to Find Your Inner Voice, Set Strong Boundaries, and Live a Life of Radical Ease (Repost), Platform: spotify, Content: com/tim ($1000 off)Our Place's Titanium Always Pan® Pro using nonstick technology that’s coating-free and made without PFAS, otherwise known as “Forever Chemicals”: https://fromourplace"
”  [01:09:32] Elizabeth’s hard-ass approach to project commitment,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/The Tim Ferriss Show,,"Episode: #820: Elizabeth Gilbert — How to Find Your Inner Voice, Set Strong Boundaries, and Live a Life of Radical Ease (Repost), Platform: spotify, Content: ”  [01:09:32] Elizabeth’s hard-ass approach to project commitment"
"When her wife complained about the indignities of coloring her hair at home, Amy realized the sector was ripe for a makeover",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/How I Built This with Guy Raz,,"Episode: Madison Reed: Amy Errett, Platform: spotify, Content: When her wife complained about the indignities of coloring her hair at home, Amy realized the sector was ripe for a makeover"
"Madison Reed’s early successes were marred by a management meltdown, when Amy had to break with three of her co-founders—an experience she describes as one of the most difficult of her life",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/How I Built This with Guy Raz,,"Episode: Madison Reed: Amy Errett, Platform: spotify, Content: Madison Reed’s early successes were marred by a management meltdown, when Amy had to break with three of her co-founders—an experience she describes as one of the most difficult of her life"
Daniel shares what he learned from his years of plant-based cooking and how the experiment forever changed his creative vision,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/How I Built This with Guy Raz,,"Episode: Exclusive Update: The Chef Who Shocked the Culinary World and Why He’s Changing Course Again—Daniel Humm of Eleven Madison Park, Platform: spotify, Content: Daniel shares what he learned from his years of plant-based cooking and how the experiment forever changed his creative vision"
Chesapeake Bay Candle and Blueme founder Mei Xu joins Guy on the Advice Line to answer questions from three early-stage founders,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/How I Built This with Guy Raz,,"Episode: Advice Line with Mei Xu of Chesapeake Bay Candle and Blueme, Platform: spotify, Content: Chesapeake Bay Candle and Blueme founder Mei Xu joins Guy on the Advice Line to answer questions from three early-stage founders"
"And finally, Lindsay in Grand Rapids, Michigan needs advice on how to get her online curriculum in front of more school districts",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/How I Built This with Guy Raz,,"Episode: Advice Line with Mei Xu of Chesapeake Bay Candle and Blueme, Platform: spotify, Content: And finally, Lindsay in Grand Rapids, Michigan needs advice on how to get her online curriculum in front of more school districts"
"If you’d like to be featured on a future Advice Line episode, leave us a one-minute message that tells us about your business and a specific question you’d like answered",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/How I Built This with Guy Raz,,"Episode: Advice Line with Mei Xu of Chesapeake Bay Candle and Blueme, Platform: spotify, Content: If you’d like to be featured on a future Advice Line episode, leave us a one-minute message that tells us about your business and a specific question you’d like answered"
"After a failed business left him nearly bankrupt, he found success by zigging where others zagged—initially by selling hit records based on TV shows like Power Rangers and WrestleMania",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/How I Built This with Guy Raz,,"Episode: Simon Cowell: Music Mogul, Platform: spotify, Content: After a failed business left him nearly bankrupt, he found success by zigging where others zagged—initially by selling hit records based on TV shows like Power Rangers and WrestleMania"
Daniel shares what he learned from his years of plant-based cooking and how the experiment forever changed his creative vision,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/How I Built This with Guy Raz | Wondery+,,"Episode: Exclusive Update: The Chef Who Shocked the Culinary World and Why He’s Changing Course Again—Daniel Humm of Eleven Madison Park, Platform: spotify, Content: Daniel shares what he learned from his years of plant-based cooking and how the experiment forever changed his creative vision"
"When her wife complained about the indignities of coloring her hair at home, Amy realized the sector was ripe for a makeover",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/How I Built This with Guy Raz | Wondery+,,"Episode: Madison Reed: Amy Errett, Platform: spotify, Content: When her wife complained about the indignities of coloring her hair at home, Amy realized the sector was ripe for a makeover"
